country,iso3,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jordan,JOR,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified)
Kazakhstan,KAZ,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Kenya,KEN,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Kosovo,OWID_KOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Kuwait,KWT,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified)
Kyrgyzstan,KGZ,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Laos,LAO,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Latvia,LVA,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Lebanon,LBN,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified)
Lesotho,LSO,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free
Liberia,LBR,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free
Libya,LBY,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified)
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Lithuania,LTU,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Luxembourg,LUX,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Macao,MAC,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Madagascar,MDG,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free
Malawi,MWI,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free
Malaysia,MYS,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Maldives,MDV,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free,WHO Region certified polio-free
Mali,MLI,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,endemic,polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),polio-free (not certified),WHO Region certified polio-free
